,,,,union,speedup,karp
random,10000,0.29398215,0.4077793,0.20006905,0.4906307162,2.3842570852
random,40000,0.5797387,0.7620216,0.7524491,0.9874380201,1.0169623877
random,90000,1.19389305,1.416111,1.683569,1.188867963,0.7881817338
random,160000,2.147603,2.54546395,3.6524296,1.4348777558,0.5958979743
random,250000,3.2488108,3.9162874,5.5113077,1.407278664,0.6141217567
random,360000,4.43028215,4.9987913,7.099,1.4201433054,0.6055390524
random,490000,9.3536259,10.5073689,9.3031,0.8853881584,1.1725975069
random,640000,8.4470749,9.5645546,12.8118,1.3395082715,0.6620568122
random,810000,9.56500765,10.7725978,13.9810324,1.2978329517,0.6940202499
random,1000000,10.4867577,11.67463065,20.2854991,1.7375709526,0.4340214221
random,1210000,15.9484028,17.8871274,20.699358,1.1572209185,0.8188523142
random,1440000,18.2526111,20.4360962,29.6625853,1.451480019,0.5852692764
random,1690000,21.53552765,24.14922725,79.7559262,3.3026285013,0.0703855024
random,1960000,24.8891591,27.8829813,36.8572473,1.3218546074,0.6753504704
random,2250000,28.0195951,31.2774417,38.2513047,1.2229678203,0.7569106708
random,2560000,27.113533,29.836464,48.1148242,1.6126181775,0.4934794559
random,2890000,35.6679917,39.5556211,52.7893,1.3345587437,0.6657484528
random,3240000,40.4369116,44.9325324,64.1973973,1.4287509266,0.5998827427
random,3610000,46.4210273,51.0596275,65.0061608,1.2731420886,0.7139443784
random,4000000,48.565054,53.6251784,72.9356,1.3600999041,0.6469868103
